IoTソリューションでは、テレメトリデータを処理して5秒以内にアラートをトリガーする必要がある。データ量は大きく変動し、処理ロジックは頻繁に変更される可能性がある。ストリーム処理に使用するAzureサービスはどれか。|Event Hub trigger を使用する Azure Functions|Azure Stream Analytics with reference data|Azure Databricks with Structured Streaming|Azure Kubernetes Service with Kafka|Azure Synapse Analytics pipelines||||A|Azure Functions は Event Hubs または IoT Hub からのイベントをトリガーとしてサーバーレスで実行され、数秒レベルの低遅延処理を実現できる。コードベースのロジックのため頻繁な処理ロジック変更にも柔軟に対応でき、負荷に応じて自動スケールするため可変データ量にも適している。|Microsoft Learn Azure Functions Event Hub trigger; Microsoft Learn serverless event processing|Azure::IoT Azure::Serverless Azure::EventDriven Azure::StreamProcessing
Azure App Service を使用するミッションクリティカルなWebアプリケーションを展開している。地域的な停電が発生しても15分以内に復旧し、トラフィックを自動的に健全なリージョンへリダイレクトする必要がある。どの構成を実装するべきか。|App Service を2つのリージョンに展開し Azure Front Door を使用する|Availability Zone を使用した単一リージョンの App Service|App Service を2リージョンに展開し Azure Traffic Manager を使用する|Auto Scale を有効にした App Service|Azure Backup と geo-restore を使用した App Service||||A|Azure Front Door はグローバルHTTPロードバランサーであり、リアルタイムのヘルスプローブに基づいて健全なリージョンへトラフィックを自動的にルーティングできる。App Service を複数リージョンにデプロイすることでリージョン障害に対応でき、Front Door が自動フェイルオーバーを実行するため、短いRTOでの高可用性と災害復旧を実現できる。|Microsoft Learn Azure Front Door overview; Microsoft Learn design multi-region App Service architecture|Azure::HighAvailability Azure::DisasterRecovery Azure::AppService Azure::FrontDoor
オンプレミスのファイルサーバーから Azure Blob Storage に 50TB のデータを安全に転送する必要がある。転送は 1 週間以内に完了する必要があり、インターネット接続の帯域幅は限られている。どのソリューションを使用するべきか。|Azure Data Box|Azure Data Factory with self-hosted integration runtime|AzCopy with multithreading|Azure Import/Export service using disks|Robocopy over VPN||||A|Azure Data Box は大量データを物理アプライアンスにコピーして Microsoft に送付し、Azure Storage に直接取り込むオフライン転送サービスである。ネットワーク帯域幅の制約を回避でき、大規模データ (数十TB〜PB) を短期間で安全に移行できるため、50TB を 1 週間以内に転送する要件に適している。|Microsoft Learn Azure Data Box overview; Microsoft Learn offline data transfer to Azure|Azure::Migration Azure::DataTransfer Azure::Storage Azure::DataBox
Azure Kubernetes Service (AKS) クラスターで本番ワークロードを実行している。特定のレジストリから承認されたコンテナイメージのみをデプロイできるようにし、すべての Pod は readOnlyRootFilesystem を使用して実行する必要がある。どの Azure 機能を使用するべきか。|Azure Policy for AKS|Pod Security Policy|Container image scanning in Azure Container Registry|Network policies in AKS|Microsoft Defender for Kubernetes||||A|Azure Policy for AKS を使用すると、許可されたコンテナレジストリの制限や readOnlyRootFilesystem などの Pod セキュリティ設定をポリシーとして強制できる。これによりクラスター全体で一貫したセキュリティとコンプライアンスを自動的に適用できる。|Microsoft Learn Azure Policy for Kubernetes overview; Microsoft Learn built-in policies for AKS|Azure::AKS Azure::Security Azure::Governance Azure::AzurePolicy
複数の Azure SQL Database とオンプレミス Oracle データベースからデータを統合するデータウェアハウスを設計している。ソリューションは複雑な変換をサポートし、Slowly Changing Dimensions (SCD) に対応する必要がある。ETL パイプラインの中心となるサービスはどれか。|Azure Data Factory with Data Flows|Azure Databricks|Azure Synapse Analytics pipelines|SQL Server Integration Services on Azure VM|Azure Logic Apps||||A|Azure Data Factory は Azure SQL Database やオンプレミス Oracle など多くのデータソースへのコネクタを提供し、ETL パイプラインのオーケストレーションを行える。Mapping Data Flows により複雑な変換や Slowly Changing Dimension (SCD) パターンをコードレスまたはローコードで実装できるため、クラウドデータウェアハウスの ETL 基盤として適している。|Microsoft Learn Azure Data Factory overview; Microsoft Learn mapping data flows and SCD pattern|Azure::DataFactory Azure::ETL Azure::DataEngineering Azure::DataWarehouse
特定の Azure リソースを一定期間管理するために、開発者へ一時的かつ高い権限を付与する必要がある。このアクセスには承認が必要で、期限が過ぎたら自動的に権限が取り消される必要がある。どの Azure サービスを使用するべきか。|Azure AD Privileged Identity Management (PIM)|Custom RBAC role|Azure AD Conditional Access|Resource locks|Management groups||||A|Azure AD Privileged Identity Management (PIM) は Just-In-Time (JIT) アクセスを提供し、承認ベースで一時的に Azure RBAC ロールを有効化できる。アクセスには期限を設定でき、時間が経過すると自動的に権限が取り消されるため、特権アクセスの安全な管理に適している。|Microsoft Learn Privileged Identity Management overview; Microsoft Learn just-in-time privileged access|Azure::Security Azure::Identity Azure::PIM Azure::RBAC
数百万の JSON ドキュメントを保存し、SQL のような構文でクエリする必要がある。ソリューションは 1 桁ミリ秒の読み取り遅延を提供し、需要に応じてスループットを自動スケールできる必要がある。どの Azure サービスを使用するべきか。|Azure Cosmos DB (SQL API)|Azure SQL Database with JSON support|Azure Blob Storage with JSON files|Azure Table Storage|Azure Cache for Redis||||A|Azure Cosmos DB の SQL API は JSON ドキュメントをネイティブに保存し、SQL のようなクエリ言語でデータを検索できる。グローバル分散データベースとして設計されており、1 桁ミリ秒の読み取り遅延を提供し、RU/s ベースの autoscale によりスループットを需要に応じて自動的にスケールできる。|Microsoft Learn Azure Cosmos DB overview; Microsoft Learn Cosmos DB SQL API query language|Azure::CosmosDB Azure::NoSQL Azure::JSON Azure::Autoscale
Azure AD 認証を使用する Azure App Service 上の多層アプリケーションがある。管理されていないデバイスからのユーザーは完全にブロックし、自社所有の Azure AD 参加デバイスは認証プロンプトなしでシームレスにアクセスできる必要がある。どの Azure サービスを組み合わせるべきか。|Azure AD App Registration と Azure AD Conditional Access policies|Azure AD Conditional Access policies と Azure AD Application Proxy|Azure AD Conditional Access policies と Managed Identity|Azure AD App Registration と Managed Identity|Azure AD Application Proxy と Managed Identity||||A|Azure AD App Registration は App Service を Azure AD に統合してユーザー認証を有効化する。Azure AD Conditional Access ポリシーを使用すると、準拠デバイスや Azure AD 参加デバイスのみアクセスを許可し、管理されていないデバイスをブロックできる。これにより企業デバイスではシームレス SSO が可能になる。|Microsoft Learn Conditional Access overview; Microsoft Learn App registration in Microsoft Entra ID|Azure::Identity Azure::AzureAD Azure::ConditionalAccess Azure::AppService
Azure Policy を使用して、サブスクリプション内の既存および将来の Azure SQL Database に透過的データ暗号化 (TDE) を適用する必要がある。ポリシーは ARM テンプレートを使用して非準拠リソースを自動修復できる必要がある。どのポリシー効果と設定を使用するべきか。|Effect: DeployIfNotExists と remediation 用 RBAC ロール割り当て|Effect: Modify と remediation identity|Effect: AuditIfNotExists と ARM template details|Effect: Deny|Effect: Append||||A|DeployIfNotExists 効果は、対象リソースが条件を満たしていない場合に ARM テンプレートを自動的にデプロイして修復できる。ポリシーには remediation 用の managed identity と RBAC ロール割り当てを含めることで、非準拠の Azure SQL Database に対して TDE を有効化するデプロイを自動実行できる。|Microsoft Learn Azure Policy effects DeployIfNotExists; Microsoft Learn remediate noncompliant resources with Azure Policy|Azure::Governance Azure::AzurePolicy Azure::SQL Azure::Security
200 台の Azure Windows 仮想マシンのシステムログから、すべての Warning と Error イベントを収集し、リアルタイムアラートと単一のダッシュボードで表示する必要がある。どの Azure リソースとエージェント構成を使用するべきか。|Log Analytics workspace と Log Analytics agent|Azure Event Hubs と Azure Monitor agent|Azure Storage account と Azure Monitor agent|Log Analytics workspace と Azure Monitor agent|Azure Event Hubs と Dependency agent||||A|Log Analytics workspace は複数の仮想マシンからログを集中収集・保存・分析できる。Log Analytics agent を各 VM にインストールすると Windows Event Log (System など) を収集してワークスペースへ送信でき、KQL クエリ、ダッシュボード、リアルタイムアラートを作成できるため大規模なログ監視に適している。|Microsoft Learn Azure Monitor Log Analytics overview; Microsoft Learn collect Windows event logs with Log Analytics agent|Azure::Monitor Azure::LogAnalytics Azure::VM Azure::Logging
"Azure Key Vault を使用する Web アプリがある。要件:  
・セキュリティチーム: Key Vault 管理者に対して承認付きジャストインタイム (JIT) アクセス  
・開発チーム: 認証情報を埋め込まずにアプリから Key Vault シークレットへ安全にアクセス  
・QA チーム: テストのため一時的に高い権限が必要  
各チームで使用する Azure AD 機能はどれか。"|Security: Azure AD Privileged Identity Management / Dev: Managed Identity / QA: Azure AD Privileged Identity Management|Security: Azure AD Identity Protection / Dev: Managed Identity / QA: Azure AD Connect|Security: Azure AD Connect / Dev: Managed Identity / QA: Conditional Access|Security: Conditional Access / Dev: Service Principal / QA: PIM|Security: Identity Protection / Dev: Service Principal / QA: Conditional Access||||A|Azure AD Privileged Identity Management (PIM) は承認付きジャストインタイム特権アクセスを提供するため Key Vault 管理者や QA の一時的管理アクセスに適している。開発チームは Managed Identity を使用することで認証情報をコードに埋め込まずに Azure Key Vault へ安全にアクセスできる。|Microsoft Learn Azure AD Privileged Identity Management overview; Microsoft Learn Managed Identity for Azure resources|Azure::Identity Azure::PIM Azure::ManagedIdentity Azure::KeyVault
4 つの部門がそれぞれ 1 つの Azure サブスクリプションを持っている。Azure Blueprints を使用して、各サブスクリプションに同じ構成 (リソースグループ、Web アプリ、カスタムロール、Cosmos DB アカウント) を標準化して展開する必要がある。必要な最小数の管理グループ、Blueprint 定義、Blueprint 割り当てはいくつか。|1 Management Group / 1 Blueprint definition / 4 Blueprint assignments|2 Management Groups / 2 Blueprint definitions / 4 assignments|1 Management Group / 4 Blueprint definitions / 4 assignments|4 Management Groups / 1 Blueprint definition / 4 assignments|2 Management Groups / 1 Blueprint definition / 4 assignments||||A|1 つの Blueprint 定義は複数のサブスクリプションで再利用できる。4 つのサブスクリプションは 1 つの Management Group に配置できるため管理グループは 1 つでよい。Blueprint はサブスクリプション単位で割り当てるため、4 サブスクリプションに対して 4 つの Blueprint assignments が必要になる。|Microsoft Learn Azure Blueprints overview; Microsoft Learn assign blueprints across subscriptions|Azure::Governance Azure::Blueprints Azure::ManagementGroups
タグの一貫性を強制するためにAzure Policyを設計している。リソースはリソースグループからタグを継承する必要がある。非準拠のリソースは自動的に修復される必要がある。また、ソリューションは最小特権の原則に従う必要がある。どのポリシーエフェクトとアイデンティティ構成を使用するべきか。|Effect: Append / Identity: Service Principal (Contributor)|Effect: Modify / Identity: Managed Identity (Contributor)|Effect: DeployIfNotExists / Identity: Managed Identity (Owner)|Effect: DeployIfNotExists / Identity: Managed Identity (Contributor)|||||D|Azure Policyで非準拠リソースを自動修復する場合は DeployIfNotExists または Modify が使用されるが、タグ継承などの修復処理をポリシーが自動でデプロイするパターンでは DeployIfNotExists が代表的である。修復処理はポリシーに割り当てられた Managed Identity によって実行される。最小特権の原則に従う場合、Owner 権限は過剰であり Contributor 権限で十分である。Append は既存リソースの修復はできず、Service Principal も不要な管理負担とリスクを増やす。Modify はタグ更新に使えるが、修復デプロイを行う標準パターンは DeployIfNotExists + Managed Identity であるため、DeployIfNotExists と Managed Identity (Contributor) の組み合わせが最適である。|Microsoft Docs Azure Policy|Azure::Policy Azure::Governance Azure::Tags Cloud::Governance Cloud::LeastPrivilege
データエンジニアリングチーム向けに Azure Databricks をデプロイしている。Azure Data Lake Storage Gen2 を使用し、各ユーザーの Azure AD 権限に基づいてフォルダーへアクセスさせる必要がある。設定作業とコストを最小限に抑えつつ、ユーザーが許可されたデータのみにアクセスできるようにするには、どの Databricks SKU とクラスター構成を選択すべきか。|Standard SKU + Managed Identity|Premium SKU + Credential Passthrough|Premium SKU + Secret Scope|Standard SKU + Credential Passthrough|Premium SKU + MLflow||||B|Credential Passthrough を使用すると、Databricks から ADLS Gen2 にアクセスする際にユーザー自身の Azure AD ID がそのまま認証に使用される。そのため ADLS Gen2 側の RBAC や ACL によるユーザー単位のアクセス制御がそのまま適用され、ユーザーごとに資格情報やシークレットを管理する必要がない。Credential Passthrough は Premium SKU の機能であり、エンタープライズ向けのガバナンスやセキュリティ要件にも対応する。Standard SKU + Managed Identity はワークスペース単位の認証となりユーザーごとの権限が適用されない。Secret Scope はシークレット管理の仕組みでありユーザー単位アクセス制御を提供しない。Standard SKU では Credential Passthrough の機能要件を満たさない。MLflow は機械学習の実験管理機能でありデータアクセス制御とは無関係である。|Microsoft Docs Azure Databricks|Azure::Databricks Azure::ADLSGen2 Azure::Security Azure::Identity Azure::CredentialPassthrough Cloud::DataEngineering
バックアップポリシーが次のように設定されている。毎日バックアップは90日保持、週次バックアップは52週間保持、月次バックアップは36か月保持、年次バックアップは3年間保持。このポリシーにおける最大復旧期間（Recovery Period）と仮想マシンの最小RPOはどれか。|最大復旧期間:36か月 / 最小RPO:1日|最大復旧期間:3年 / 最小RPO:1時間|最大復旧期間:36か月 / 最小RPO:1週間|最大復旧期間:3年 / 最小RPO:1時間|最大復旧期間:52週間 / 最小RPO:1日||||A|最大復旧期間は最も長い保持期間によって決まる。このポリシーでは月次バックアップ36か月および年次バックアップ3年が最長であり、最大復旧期間は36か月（3年）となる。RPO（Recovery Point Objective）は取得されるバックアップの最も短い間隔で決まり、このポリシーでは毎日バックアップがあるため最小RPOは1日となる。1時間RPOは時間単位バックアップが必要でありこのポリシーでは提供されていない。1週間RPOは実際のバックアップ頻度より粗いため最小RPOではない。|Microsoft Docs Azure Backup|Azure::Backup Azure::VM Azure::DisasterRecovery Cloud::RPO Cloud::Backup
Azure Functions を使用してサーバーレスの HTTP API を構築している。この API は読み取り専用操作として公開する必要があり、書き込み操作を許可してはならない。また、API は公開アクセス可能である必要がある。どの HTTP メソッドと認証レベルを設定するべきか。|HTTPメソッド: GET, POST / 認証: Anonymous|HTTPメソッド: GETのみ / 認証: Anonymous|HTTPメソッド: GETのみ / 認証: Function|HTTPメソッド: GET, POST / 認証: Anonymous|HTTPメソッド: GET, POST, OPTIONS / 認証: Anonymous||||B|読み取り専用 API にするには書き込み操作（POST、PUT、DELETE など）を許可してはいけないため、HTTP メソッドは GET のみに制限する必要がある。また API を公開する要件があるため、Azure Functions の認証レベルは Anonymous に設定する。Function 認証を使用するとアクセス時に Function Key が必要となり公開 API ではなくなる。POST を許可するとデータ作成や変更が可能になるため読み取り専用要件に違反する。したがって GET のみ + Anonymous が正しい構成となる。|Microsoft Docs Azure Functions HTTP Trigger|Azure::Functions Azure::Serverless Azure::Security Azure::HTTP Cloud::API
トランザクションの多いオンプレミスアプリケーション向けに Azure Files を導入している。このソリューションは最も低いレイテンシと最も高い耐障害性を提供する必要がある。どのストレージ層と冗長性オプションを選択すべきか。|Premium + ZRS|Hot tier + GRS|Transaction optimized tier + LRS|Cool tier + ZRS|Premium + GRS||||A|トランザクションの多いワークロードでは最も低いレイテンシと高いIOPSを提供する Premium（SSDベース）ストレージが適している。また耐障害性を高めるには ZRS（Zone-Redundant Storage）を使用することで同一リージョン内の複数の可用性ゾーンにデータが複製され、ゾーン障害から保護される。Hot や Transaction optimized などの Standard 層は Premium より遅延が高い。Cool 層は低頻度アクセス用でトランザクション用途に適さない。GRS はリージョン間レプリケーションを提供するが通常運用時の低レイテンシ要件には最適ではない。したがって Premium + ZRS が最も適切である。|Microsoft Docs Azure Files|Azure::Storage Azure::AzureFiles Azure::StorageAccount Azure::ZRS Azure::Premium Cloud::HighAvailability
2つのアプリケーション用にストレージ設計を行っている。App1 は最も高いトランザクションレートと最低レイテンシを必要とする。App2 は GB あたりのストレージコストを最小化する必要がある。両方ともデータセンター障害を耐えられ、アップロード/ダウンロード操作に最適化されている必要がある。それぞれに最適なストレージアカウント構成はどれか。|App1: Premium BlockBlobStorage + ZRS / App2: Standard GPv2 (Cool) + GRS|App1: Standard GPv2 (Hot) + RA-GRS / App2: Premium BlockBlobStorage + ZRS|App1: Premium FileStorage + ZRS / App2: BlobStorage (Cool) + GRS|App1: Premium BlockBlobStorage + ZRS / App2: Premium FileStorage + ZRS|App1: Standard GPv1 (Hot) + LRS||||A|App1 は最高トランザクションレートと最低レイテンシが必要なため SSD ベースで高 IOPS を提供する Premium BlockBlobStorage が最適である。また ZRS を使用すると同一リージョン内の複数ゾーンにデータが複製され高い可用性を確保できる。App2 は GB あたりのストレージコストを最小化する必要があるため Standard GPv2 の Cool 層が適している。さらにデータセンター障害に耐えるため GRS を使用して別リージョンに非同期レプリケーションを行う。Premium ストレージはコストが高く App2 の要件に合わないため不適切である。|Microsoft Docs Azure Storage Accounts|Azure::Storage Azure::BlobStorage Azure::Premium Azure::GPv2 Azure::ZRS Azure::GRS Cloud::StorageDesign
ビジネスに不可欠なデータを1年間保存する必要がある。このデータは非常に高い回復力を持ち、読み取り遅延が低く、さらに不変（immutability）である必要がある。どのストレージアカウントの種類と冗長性を選択すべきか。|Premium BlockBlobStorage + ZRS|Standard GPv2 + LRS|Standard GPv2 + ZRS|Premium File Share + GRS|Standard GPv1 + RA-GRS||||C|Azure Blob Storage の不変性（Immutable Blob / Object Lock）ポリシーは Standard GPv2 または BlobStorage アカウントでサポートされる。Premium Block Blob では不変ポリシーを利用できないため要件を満たさない。さらに高い回復力を実現するには ZRS を使用することで同一リージョン内の複数の可用性ゾーンにデータを同期レプリケーションでき、ゾーン障害から保護される。LRS は単一データセンターのみの冗長性で耐障害性が低い。GPv1 は旧世代で新規設計には推奨されない。したがって Standard GPv2 + ZRS が不変性・回復力・低遅延の要件を満たす最適な構成である。|Microsoft Docs Azure Blob Storage Immutable Storage|Azure::Storage Azure::BlobStorage Azure::GPv2 Azure::ZRS Azure::ImmutableStorage Cloud::DataProtection
ファイルサーバーのデータを西ヨーロッパの Azure Blob Storage に移行している。このソリューションはデータセンター障害時にも利用可能であり、ストレージ階層（Hot/Cool/Archive）をサポートし、コストを最小限に抑える必要がある。どのストレージアカウントの種類とレプリケーションを選択するべきか。|Premium BlockBlobStorage + ZRS|Standard GPv2 + GRS|Standard GPv1 + ZRS|Standard GPv2 + ZRS|Premium File Share + GRS||||D|Standard GPv2 ストレージアカウントは Blob Storage の Hot、Cool、Archive の階層をサポートし、コスト最適化が可能である。ZRS（Zone-Redundant Storage）は同一リージョン内の複数の可用性ゾーンにデータを同期複製するため、データセンター（ゾーン）障害が発生してもデータにアクセスできる。Premium Block Blob は高性能だがコストが高く階層化用途には適さない。GPv1 は旧世代で新規設計では推奨されない。Premium File Share は Azure Files 用で Blob Storage 移行シナリオには適していない。したがって Standard GPv2 + ZRS が最適な構成である。|Microsoft Docs Azure Storage Redundancy|Azure::Storage Azure::BlobStorage Azure::GPv2 Azure::ZRS Cloud::StorageMigration Cloud::CostOptimization
Web アプリがデータベース接続文字列を保存するために Azure Key Vault を使用している。Key Vault のリージョンで障害が発生した場合、フェイルオーバーはどこで発生し、フェイルオーバー中に利用できなくなる操作はどれか。|フェイルオーバー: ペアリージョン / 利用不可操作: Get|フェイルオーバー: 同一可用性ゾーン / 利用不可操作: Delete|フェイルオーバー: ペアリージョン / 利用不可操作: Delete|フェイルオーバー: 同一リージョン / 利用不可操作: Delete|フェイルオーバー: ペアリージョン / 利用不可操作: Set||||A|Azure Key Vault は高可用性のためにリージョンペアを使用してレプリケーションされる。プライマリリージョンで障害が発生した場合、サービスはペアリージョンへフェイルオーバーする。フェイルオーバー中はレプリカの昇格や同期処理が行われるため、一時的にシークレットの取得（Get 操作）が利用できなくなる可能性がある。同一ゾーンや同一リージョン内フェイルオーバーはリージョン障害に対応できないため不適切である。|Microsoft Docs Azure Key Vault Availability and Disaster Recovery|Azure::KeyVault Azure::HighAvailability Azure::DisasterRecovery Cloud::Architecture
オンプレミスの SQL Server データベースを Azure に移行する。ソリューションは15分以内に利用可能な読み取り可能セカンダリ、自動レプリケーション、および15分以内のフェイルオーバーをサポートする必要がある。どの Azure サービスとレプリケーションメカニズムを使用するべきか。|Azure SQL Managed Instance + Auto-Failover Group|Azure SQL Database + Active Geo-Replication|SQL Server on Azure VM + Always On Availability Groups|Azure Synapse Analytics + Geo-Replication|Azure SQL Database + Standard Geo-Replication||||A|Azure SQL Managed Instance の Auto-Failover Group はリージョン間で自動レプリケーションを行い、プライマリ障害時に自動フェイルオーバーを実行できる。セカンダリは読み取り可能であり、数分以内の RTO を実現できるため 15 分以内のフェイルオーバー要件を満たす。Azure SQL Database の Active Geo-Replication や Standard Geo-Replication は基本的に手動フェイルオーバーであり要件を満たさない可能性がある。SQL Server on Azure VM の Always On は実現可能だが IaaS 管理が必要で運用負担が大きい。Synapse Analytics は分析用途で OLTP データベース移行には適さない。|Microsoft Docs Azure SQL Managed Instance Auto-Failover Groups|Azure::SQL Azure::ManagedInstance Azure::HighAvailability Azure::DisasterRecovery Cloud::Database
SQL Server 2017 Always On データベースを Azure Linux VM 上の SQL Server 2019 インスタンスへ移行する必要がある。ダウンタイムを最小限に抑える必要がある。どのように移行を準備し実行するべきか。|準備: VM1 で新しい AG を作成 / 移行: ログ配布 (Log Shipping)|準備: AG1 にセカンダリレプリカを追加 / 移行: 分散可用性グループ (Distributed AG)|準備: オンプレミス SQL をアップグレード / 移行: Azure Migrate|準備: AG1 にセカンダリレプリカを追加 / 移行: Log Shipping|準備: VM1 で新しい AG を作成 / 移行: Database Mirroring||||B|最小ダウンタイムで Always On データベースを移行する場合は Distributed Availability Group (分散可用性グループ) を使用する方法が適している。まず既存の AG1 に Azure Linux VM 上の SQL Server 2019 をセカンダリレプリカとして追加する準備を行う。次に分散 AG を構成してオンプレミス環境と Azure 環境の AG 間でデータを同期させる。これにより移行期間中も継続的にデータ同期が行われ、最終カットオーバー時にはフェイルオーバーを実行するだけでよいためダウンタイムを最小限に抑えられる。Log Shipping は非同期で切替時のダウンタイムが長くなりやすい。Azure Migrate は VM 移行ツールであり Always On データベースの最小ダウンタイム移行には適していない。|Microsoft Docs SQL Server Distributed Availability Groups|SQLServer::AlwaysOn SQLServer::DistributedAG Azure::VM Azure::Migration Database::HighAvailability
Azure SQL Database に従業員の PII を保存する Web アプリを構築している。ソリューションはデータセンター障害時でも利用可能であり、特定の PII 列を暗号化し、給与処理のピーク時に自動スケーリングでき、コストを最小限に抑える必要がある。どのサービス階層と暗号化方式を選択すべきか。|Business Critical (Serverless) + Always Encrypted|General Purpose (Serverless) + Always Encrypted|Hyperscale (Provisioned) + TDE|General Purpose (Provisioned) + Always Encrypted|Business Critical (Provisioned) + TDE||||B|特定の PII 列を暗号化するには列レベル暗号化である Always Encrypted を使用する必要がある。TDE は保存時暗号化のみで列レベルの使用中暗号化は提供しない。給与処理のように負荷が変動するワークロードでは Serverless コンピューティングを使用することで自動スケーリングが可能になり、アイドル時には自動一時停止によってコストを削減できる。General Purpose 層は Business Critical よりコストが低く、多くのアプリケーションに十分な性能を提供する。またフェイルオーバーグループやジオレプリケーションを使用することでデータセンター障害時の可用性も確保できる。|Microsoft Docs Azure SQL Database Security and Serverless|Azure::SQLDatabase Azure::Serverless Azure::AlwaysEncrypted Azure::Security Azure::HighAvailability Cloud::PII
Azure Logic Apps からインターネット接続のないオンプレミスの SQL Server に書き込みアクセスする必要がある。サブスクリプションはハイブリッド Azure AD テナントに関連付けられている。オンプレミスおよび Azure にそれぞれ何を展開するべきか。|オンプレミス: Azure AD App Proxy Connector / Azure: Application Gateway|オンプレミス: Hybrid Connection Manager / Azure: Connection Gateway|オンプレミス: On-premises Data Gateway / Azure: Connection Gateway|オンプレミス: Web Application Proxy / Azure: Connection Gateway|オンプレミス: On-premises Data Gateway / Azure: Application Gateway||||C|Logic Apps からオンプレミスの SQL Server へ安全に接続するには On-premises Data Gateway を使用する。オンプレミスデータゲートウェイはクラウドサービス（Logic Apps、Power Platform など）とオンプレミスデータソースの間の安全なブリッジとして機能し、SQL Server をインターネットに公開する必要がない。Azure 側では Connection Gateway を使用して Logic Apps のコネクタがオンプレミスデータゲートウェイ経由で SQL Server にアクセスできるようにする。Application Gateway や App Proxy は Web アプリ公開用途でありデータ接続用途ではない。|Microsoft Docs On-premises Data Gateway|Azure::LogicApps Azure::OnPremisesDataGateway Azure::HybridConnectivity Azure::SQLServer Cloud::Integration
北ヨーロッパと西ヨーロッパに Web アプリを展開している。ユーザーは北ヨーロッパが利用可能な限り常に北ヨーロッパに接続する必要があり、障害時のみ西ヨーロッパへフェイルオーバーする必要がある。また高可用性を確保しつつ導入コストを最小限に抑える必要がある。どのルーティング方法と設定を使用するべきか。|Traffic Manager (Performance routing)|Application Gateway (Cookie-based affinity)|Traffic Manager (Priority routing)|Load balancer (Weighted routing)|Traffic Manager (Geographic routing)||||C|Azure Traffic Manager は DNS ベースのグローバルロードバランシングサービスである。Priority routing を使用するとプライマリエンドポイント（北ヨーロッパ）とセカンダリエンドポイント（西ヨーロッパ）を設定でき、プライマリが正常な場合はすべてのトラフィックを北ヨーロッパに送信し、障害時のみ西ヨーロッパへ自動フェイルオーバーする。Performance routing は最も低遅延のリージョンへ送るため要件に合わない。Application Gateway はリージョン内ロードバランサーでありリージョン間フェイルオーバーを提供しない。Geographic routing はユーザー地域に基づくルーティングであり北ヨーロッパ優先を保証しない。|Microsoft Docs Azure Traffic Manager|Azure::TrafficManager Azure::HighAvailability Azure::DNS Azure::LoadBalancing Cloud::Architecture
企業はニューヨークとロサンゼルスにオンプレミスサイトを持ち、Azure では East US と West US に VNet を展開している。各サイトは ExpressRoute Global Reach を使用して両方のリージョンに接続されている。Azure からのアウトバウンドインターネットトラフィックは、サイト障害時に最も近いオンプレミスサイトへ自動的にフェイルオーバーする必要がある。ルーティングはどのように構成するべきか。|ルーティング: BGP / フェイルオーバー: HSRP|ルーティング: UDR / フェイルオーバー: BGP|ルーティング: BGP / フェイルオーバー: BGP|ルーティング: デフォルトルート / フェイルオーバー: VRRP|ルーティング: UDR / フェイルオーバー: VRRP||||C|ExpressRoute では BGP を使用して Azure とオンプレミス間のルートを動的に交換する。複数のオンプレミスサイト（ニューヨークとロサンゼルス）が ExpressRoute Global Reach で接続されている場合、BGP によって複数のパスが広告され、Azure は最適な経路を選択する。サイト障害が発生すると BGP セッションが切断され、BGP が自動的に再収束して残りの正常なサイトへトラフィックを再ルーティングするため、自動フェイルオーバーが実現される。UDR やデフォルトルートは静的であり自動フェイルオーバーに適さない。HSRP や VRRP はオンプレミス内部のゲートウェイ冗長化プロトコルであり Azure のルーティング制御には使用できない。|Microsoft Docs ExpressRoute BGP Routing|Azure::ExpressRoute Azure::BGP Azure::Networking Azure::GlobalReach Cloud::HybridNetworking
Linux 仮想マシンを使用してビデオ分析ソリューションを構築している。最大 7TB のビデオファイルが ExpressRoute 経由でアップロードされる。ストレージは大容量ファイルをサポートし、高可用性を提供し、大規模データ処理に最適化されている必要がある。どのストレージアカウントタイプ、冗長性、ネットワーク設定を使用するべきか。|Standard GPv2 + GRS + Private Endpoint|Premium File Share + ZRS + Service Endpoint|Standard GPv2 + ZRS + Route Server|Premium BlockBlobStorage + ZRS + Private Endpoint|Standard GPv2 + GRS + Service Endpoint||||D|大容量の動画ファイルや高スループット処理には Premium BlockBlobStorage が最適であり、大規模なオブジェクトストレージワークロード向けに低遅延と高 IOPS を提供する。ZRS（Zone-Redundant Storage）を使用することで同一リージョン内の複数可用性ゾーンにデータを複製し、高可用性を確保できる。さらに Private Endpoint を使用すると ExpressRoute 経由で VNet 内のプライベート IP を使ってストレージに接続でき、パブリックインターネットを経由しない安全で高帯域の通信が可能になる。Standard GPv2 や File Share はこの規模の動画処理ワークロードに対してパフォーマンス最適化が不足する。|Microsoft Docs Azure Block Blob Storage Performance|Azure::Storage Azure::BlockBlob Azure::Premium Azure::ZRS Azure::PrivateEndpoint Cloud::BigData
